month,day,second,temp
01,18,121305,56
01,18,121804,56
01,18,122303,56
01,18,122803,56
01,18,123303,56
01,18,123802,56
01,18,124301,56
01,18,124801,56
01,18,125300,57
01,18,125801,57
01,18,130300,58
01,18,130759,58
01,18,131258,58
01,18,131758,58
01,18,132257,58
01,18,132757,57
01,18,133257,57
01,18,133756,57
01,18,134256,58
01,18,134755,58
01,18,135255,58
01,18,135754,59
01,18,140253,59
01,18,140753,59
01,18,141252,59
01,18,141751,59
01,18,142251,59
01,18,142751,59
01,18,143250,59
01,18,143750,59
01,18,144250,59
01,18,144750,58
01,18,145250,58
01,18,145749,59
01,18,150248,59
01,18,150748,59
01,18,151247,59
01,18,151747,59
01,18,152247,59
01,18,152747,59
01,18,153246,59
01,18,153745,59
01,18,154244,59
01,18,154744,59
01,18,155243,59
01,18,155743,59
01,18,160243,60
01,18,160743,59
01,18,161242,59
01,18,161741,59
01,18,162241,59
01,18,162740,58
01,18,163240,58
01,18,163739,58
01,18,164238,58
01,18,164738,58
01,18,165239,58
01,18,165738,57
01,18,170237,57
01,18,170736,57
01,18,171236,56
01,18,171735,56
01,18,172234,55
01,18,172734,55
01,18,173233,54
01,18,173733,54
01,18,174232,53
01,18,174732,53
01,18,175232,53
01,18,175731,53
01,18,180231,53
01,18,180730,53
01,18,181229,52
01,18,181729,52
01,18,182228,52
01,18,182727,52
01,18,183227,51
01,18,183727,51
01,18,184227,51
01,18,184726,51
01,18,185225,51
01,18,185724,51
01,18,190223,50
01,18,190723,50
01,18,191222,51
01,18,191722,51
01,18,192221,50
01,18,192720,50
01,18,193220,50
01,18,193720,50
01,18,194219,50
01,18,194718,50
01,18,195218,50
01,18,195717,50
01,18,200216,50
01,18,200715,50
01,18,201215,50
01,18,201714,50
01,18,202214,50
01,18,202713,50
01,18,203214,50
01,18,203714,50
01,18,204213,50
01,18,204712,50
01,18,205211,50
01,18,205711,50
01,18,210210,50
01,18,210709,50
01,18,211209,50
01,18,211708,50
01,18,212207,50
01,18,212706,50
01,18,213206,50
01,18,213705,50
01,18,214204,50
01,18,214704,50
01,18,215204,50
01,18,215703,50
01,18,220203,50
01,18,220702,50
01,18,221202,50
01,18,221702,50
01,18,222201,50
01,18,222700,50
01,18,223200,50
01,18,223659,50
01,18,224159,50
01,18,224659,50
01,18,225158,50
01,18,225658,50
01,18,230157,50
01,18,230658,50
01,18,231157,50
01,18,231656,50
01,18,232156,50
01,18,232655,50
01,18,233155,50
01,18,233654,50
01,18,234153,50
01,18,234652,50
01,18,235152,50
01,18,235651,50
01,19,000150,50
01,19,000649,50
01,19,001149,50
01,19,001648,50
01,19,002147,50
01,19,002646,50
01,19,003146,50
01,19,003645,50
01,19,004145,50
01,19,004644,50
01,19,005143,50
01,19,005643,50
01,19,010142,50
01,19,010641,50
01,19,011140,50
01,19,011639,50
01,19,012139,50
01,19,012638,50
01,19,013137,50
01,19,013637,50
01,19,014136,50
01,19,014636,50
01,19,015135,50
01,19,015634,50
01,19,020133,50
01,19,020633,50
01,19,021132,50
01,19,021632,50
01,19,022132,50
01,19,022631,50
01,19,023130,50
01,19,023629,50
01,19,024129,50
01,19,024628,50
01,19,025127,50
01,19,025626,50
01,19,030126,50
01,19,030625,50
01,19,031125,50
01,19,031624,50
01,19,032124,50
01,19,032623,50
01,19,033122,50
01,19,033621,50
01,19,034121,50
01,19,034620,50
01,19,035119,50
01,19,035618,50
01,19,040117,50
01,19,040617,50
01,19,041116,50
01,19,041615,50
01,19,042115,50
01,19,042614,50
01,19,043113,50
01,19,043612,50
01,19,044112,50
01,19,044611,50
01,19,045110,50
01,19,045609,50
01,19,050109,49
01,19,050608,49
01,19,051107,49
01,19,051606,49
01,19,052105,49
01,19,052604,49
01,19,053104,49
01,19,053603,49
01,19,054103,49
01,19,054602,49
01,19,055102,49
01,19,055601,49
01,19,060100,49
01,19,060559,48
01,19,061058,48
01,19,061558,48
01,19,062057,48
01,19,062555,48
01,19,063055,48
01,19,063555,48
01,19,064054,48
01,19,064554,48
